Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ukraine,0,0,0,0,170.947,175.088,173.143,172.1551509,161.827638,159.213,135.23,126.375,108.717,88.598,77.875,57.989,59.345,60.215,63.464,62.89,62.097,62.242,60.685,60.281,61.386,62.393,59.147,59.822,55.426,55.387,63.191,66.151,64.894,45.687,30.408,32.17,24.685,26.794,26.07,24.44,24.92297808
United Kingdom,127.469,124.711,119.254,51.182,94.111,108.099,104.533,104.066,99.82,92.762,94.202,84.493,68.199,49.785,53.037,50.197,48.495,41.177,37.077,31.19758267,31.929856,29.989155,28.278729,25.096057,20.498293,18.517162,17.007227,18.05324257,17.87363382,18.34663037,18.55197821,16.96666706,12.76744561,11.64761179,8.598017523,4.17779643,3.041064486,2.580876056,2.166397294,1.67329,1.05382
Kazakhstan,0,0,0,0,130.8,137.5,142.1,143.1,138.4,131.443,130.382,126.536,111.88,104.625,83.271,76.831,72.647,69.773,58.378,74.872,79.07669985,73.73025986,84.9062,86.8746,86.5858,96.1591,97.8286,111.071892,100.854051,110.929564,116.4495,120.5273,119.5737,113.9851,107.3181978,103.074,112.2936,118.4833,115.0012,113.3976,115.6939
Russia,0,0,0,0,409.252,423.948,424.087,440,422.8,405.1941176,362.2358824,349.0041765,311.8620588,278.3041765,269.5747647,262.353441,250.3853658,235.4576542,255.2031539,262.2104547,274.3250431,258.907714,279.006207,284.6584422,300.1355517,311.3705882,315.7005152,330.2122799,302.5486533,322.93663,337.4,358.3,355.231,357.3969925,372.4823529,386.6134706,412.5403407,441.5764706,440.9057832,399.6642382,433.6705882
Uzbekistan,0,0,0,0,5.3,6,5,5.5,6.2,6.5,5.948,4.68,3.807,3.845,3.054,2.837,2.946,2.952,2.956,2.501,2.711,2.7364,1.913,2.699,3.0023,3.1223,3.2733,3.602,3.6542,3.6294,3.844804,3.75294,4.09002,4.39682,3.48797,3.86725,4.03863,4.17443,4.04794,4.1330511,4.7812
South Africa,130.42,144.18,145.61,162.91,173.52,176.72,176.55,181.36,176.28,174.78,178.39,184.045893,188.214016,195.80544,206.2107,206.362033,220.072251,222.976756,223.514169,224.199281,223.560276,220.212491,238.751013,242.821694,244.985995,244.774833,247.666363,252.213352,247.820755,254.521942,252.75685,258.5758,256.2821349,261.398523,252.1764729,249.71868,252.343008,250.0366294,254.41072,245.8182726,234.4947918
Zimbabwe,2.87,2.77,3.33,3.11,3.11,4.05,4.83,5.07,5.11,5.5,5.62,5.55,5.29,5.47,5.54,5.17,5.3,5.47,4.98,4.41,4.511447,3.938175,2.824362,3.797669,3.370826,2.107115,2.080221,1.50908,1.667346,2.668183,2.562054,1.5936,3.1142,5.7826,4.336193,2.701719,2.928,3.347764,2.627011,2.7059355,3.23921509
Australia,128.519,131.581,135.072,141.555,168.5635,180.326,190.074,189.5125,204.5395,213.1425,221.1215,231.8315,230.8485,236.387,248.1345,256.9845,281.0205,290.749,305.832,313.9175,335.482,343.2475,351.054,363.15015,378.762536,385.793573,396.513704,408.0465021,422.519808,434.4018897,423.2415873,448.2076959,472.7847767,505.2704105,503.7454886,502.1274479,487.2262037,501.9602271,505.4084284,469.9578996,478.5942044
China,621.6,666.3,714.5,789.2,872.3,894,928.1,979.9,1054.2,1079.883,1087.406,1116.38,1150.67,1239.901,1360.731,1396.6994,1387.5313,1332.0286,1363.9973,1384.1845,1471.5265,1550.4003,1834.8987,2122.6108,2365.146,2569.7312,2759.8913,2903.4056,3115.3542,3428.4473,3764.4352,3945.1281,3974.322,3873.919,3746.5416,3410.604,3523.5618,3697.7358,3846.332,3901.5771,4126
India,130.1,134.95,142.9,152.53,157.45,169.18,185.36,196.98,215.29,223.34,239.9,253.8,263.19,270.86,289.02,310.96,319.39,320.918,314.415,334.797,341.88,358.107,375.352,407.9877182,429.023,449.671,479.336,515.781,556.085,572.7397432,563.7434895,605.616,608.535,646.232,674.153,689.81,711.681,760.407,753.912,759.331,811.256
Indonesia,0.4,0.59,0.65,1.47,2,2.59,3.03,4.49,8.7,10.73,13.84,22.36,27.58,32.87,41.84,50.35,54.82,62.23,73.68,77.040185,92.54046,103.329093,114.278,132.352025,152.722438,193.761311,216.946699,240.249968,256.181,275.164196,353.270937,386.077357,474.371369,458.096707,461.56608,456.197775,461.248184,557.77294,616.159594,563.728255,613.990256
Japan,17.69,17.61,17.06,16.65,16.38,16.01,13.05,11.23,10.19,8.26,8.05,7.6,7.22,6.93,6.26,6.48,4.27,3.66,3.91,3.13,3.2,1.369448,1.337921,1.338514,1.113571,1.359869,1.423328,1.22775,1.280671,0.91701,1.271521,1.321062,1.20363,1.307515,1.170817,1.340424,1.388518,1.040705,0.758348,0.772012,0.674713
Mongolia,4.3,4.921,4.974,5.431,6.523,7.065,7.765,8.606,8.045,7.157,7.037,6.2474,5.617,5.158,5.019,5.11,4.924,5.057,4.964,5.185,5.141,5.5444,5.6661,6.865,7.5171,8.0741,9.2376,10.0719,14.4421,25.1619,32.994,31.139,33.3405,24.4493,24.1461,35.0965,49.4803,54.5723,57.1288,43.079,32.3176
New Zealand,2.196894,2.244384,2.473531,2.526647,2.39001,2.517947,2.220996,2.438071,2.713016,2.57856,2.689025,3.018059,3.336808,3.033235,3.576821,3.610552,3.56741207,3.12637,3.50573,3.457417,3.911396,4.458939,5.179891,5.155394,5.267161,5.673531,4.834779,4.831607,4.513225767,5.34190916,4.958983,4.92217188,4.62546298,3.98444722,3.390648,2.866622,2.918563,3.230798,3.033983,2.818682,2.867610285
Pakistan,1.56,1.77,1.82,2.31,2.19,2.05,2.41,2.7,2.72,2.82,2.83,2.98,3.15,3.02,3.17,3.46,3.14,3.32,3.31,3.23,3.26,3.49,3.339,3.394,3.487,4.0055,3.6935,3.9775,3.5095,3.367,3.227,3.04,2.9865,3.3825,3.325,4.099,4.171,4.3849735,7.0525085,8.776518,7.532
South Korea,19.865,20.116,19.861,21.37,22.543,24.253,24.274,24.295,20.785,17.217,15.058,11.969,9.407,7.398,5.72,4.951,4.512,4.361,4.197,4.15,3.817,3.318,3.298,3.191,2.832,2.824,2.886,2.773,2.519,2.084,2.084,2.094,1.815,1.748,1.764,1.726,1.485,1.2,1.084,1.019,0.898
Thailand,1.686044,1.963764,1.866083,2.337226,5.14615,5.538084,6.931257,7.295059,9.009922,12.438473,14.646015,15.408561,15.557927,17.104871,18.430798,21.690394,23.438556,19.996195,18.261308,17.785747,19.606995,19.601984,18.843395,20.059844,20.878176,19.070608,18.239176,18.095385,17.5661,18.258062,21.327106,18.066429,18.110763,17.9817215,15.150549,16.978601,16.258637,14.85195,14.077965,13.250574,14.221573
Vietnam,6,6.3,6.3,5,5.6,6.1,6.3,6.1,5.1,5.1,5.2,5.2,6.5,6.04,8.35,9.823,11.388,11.672,9.629,11.609,13.397,16.409,19.314,27.349,34.093,38.778,42.483,39.777,44.078,44.835,46.611,42.083,41.064,41.086,41.664,38.735,38.409,42.384,46.387,48.37747,47.84515725
